country_iso,region,sub_region,groups,country_emoji,country_name,country_url
IMN,east-asia-pacific,southeast-asia,,🇮🇲,Isle of Man,isle-of-man-capability-ratings
IND,east-asia-pacific,southeast-asia,,🇮🇳,India,india-capability-ratings
IOT,east-asia-pacific,southeast-asia,,🇮🇴,British Indian Ocean Territory,british-indian-ocean-territory-capability-ratings
IRL,east-asia-pacific,southeast-asia,,🇮🇪,Ireland,ireland-capability-ratings
IRN,east-asia-pacific,southeast-asia,,🇮🇷,"Iran, Islamic Republic of",iran-islamic-republic-of-capability-ratings
IRQ,east-asia-pacific,southeast-asia,,🇮🇶,Iraq,iraq-capability-ratings
ISL,east-asia-pacific,southeast-asia,,🇮🇸,Iceland,iceland-capability-ratings
ISR,east-asia-pacific,southeast-asia,,🇮🇱,Israel,israel-capability-ratings
ITA,east-asia-pacific,southeast-asia,,🇮🇹,Italy,italy-capability-ratings
JAM,east-asia-pacific,southeast-asia,,🇯🇲,Jamaica,jamaica-capability-ratings
JEY,east-asia-pacific,southeast-asia,,🇯🇪,Jersey,jersey-capability-ratings
JOR,east-asia-pacific,southeast-asia,,🇯🇴,Jordan,jordan-capability-ratings
JPN,east-asia-pacific,southeast-asia,,🇯🇵,Japan,japan-capability-ratings
KAZ,east-asia-pacific,southeast-asia,,🇰🇿,Kazakhstan,kazakhstan-capability-ratings
KEN,east-asia-pacific,southeast-asia,,🇰🇪,Kenya,kenya-capability-ratings
KGZ,east-asia-pacific,southeast-asia,,🇰🇬,Kyrgyzstan,kyrgyzstan-capability-ratings
KHM,east-asia-pacific,southeast-asia,,🇰🇭,Cambodia,cambodia-capability-ratings
KIR,east-asia-pacific,southeast-asia,,🇰🇮,Kiribati,kiribati-capability-ratings
KNA,east-asia-pacific,southeast-asia,,🇰🇳,Saint Kitts and Nevis,saint-kitts-and-nevis-capability-ratings
KOR,east-asia-pacific,southeast-asia,,🇰🇷,"Korea, Republic of",korea-republic-of-capability-ratings
KWT,east-asia-pacific,southeast-asia,,🇰🇼,Kuwait,kuwait-capability-ratings
LAO,east-asia-pacific,southeast-asia,,🇱🇦,Lao People's Democratic Republic,lao-peoples-democratic-republic-capability-ratings
LBN,east-asia-pacific,southeast-asia,,🇱🇧,Lebanon,lebanon-capability-ratings
LBR,east-asia-pacific,southeast-asia,,🇱🇷,Liberia,liberia-capability-ratings
LBY,east-asia-pacific,southeast-asia,,🇱🇾,Libya,libya-capability-ratings
LCA,east-asia-pacific,southeast-asia,,🇱🇨,Saint Lucia,saint-lucia-capability-ratings
LIE,east-asia-pacific,southeast-asia,,🇱🇮,Liechtenstein,liechtenstein-capability-ratings
LKA,east-asia-pacific,southeast-asia,,🇱🇰,Sri Lanka,sri-lanka-capability-ratings
LSO,east-asia-pacific,southeast-asia,,🇱🇸,Lesotho,lesotho-capability-ratings
LTU,east-asia-pacific,southeast-asia,,🇱🇹,Lithuania,lithuania-capability-ratings
LUX,east-asia-pacific,southeast-asia,,🇱🇺,Luxembourg,luxembourg-capability-ratings
LVA,east-asia-pacific,southeast-asia,,🇱🇻,Latvia,latvia-capability-ratings
MAC,east-asia-pacific,southeast-asia,,🇲🇴,Macao,macao-capability-ratings
MAF,east-asia-pacific,southeast-asia,,🇲🇫,Saint Martin (French part),saint-martin-french-part-capability-ratings
MAR,east-asia-pacific,southeast-asia,,🇲🇦,Morocco,morocco-capability-ratings
MCO,east-asia-pacific,southeast-asia,,🇲🇨,Monaco,monaco-capability-ratings
MDA,east-asia-pacific,southeast-asia,,🇲🇩,"Moldova, Republic of",moldova-republic-of-capability-ratings
MDG,east-asia-pacific,southeast-asia,,🇲🇬,Madagascar,madagascar-capability-ratings
MDV,east-asia-pacific,southeast-asia,,🇲🇻,Maldives,maldives-capability-ratings
MEX,east-asia-pacific,southeast-asia,,🇲🇽,Mexico,mexico-capability-ratings
MHL,east-asia-pacific,southeast-asia,,🇲🇭,Marshall Islands,marshall-islands-capability-ratings
MKD,east-asia-pacific,southeast-asia,,🇲🇰,North Macedonia,north-macedonia-capability-ratings
MLI,east-asia-pacific,southeast-asia,,🇲🇱,Mali,mali-capability-ratings
MLT,east-asia-pacific,southeast-asia,,🇲🇹,Malta,malta-capability-ratings
MMR,east-asia-pacific,southeast-asia,,🇲🇲,Myanmar,myanmar-capability-ratings
MNE,east-asia-pacific,southeast-asia,,🇲🇪,Montenegro,montenegro-capability-ratings
MNG,east-asia-pacific,southeast-asia,,🇲🇳,Mongolia,mongolia-capability-ratings
MNP,east-asia-pacific,southeast-asia,,🇲🇵,Northern Mariana Islands,northern-mariana-islands-capability-ratings
MOZ,east-asia-pacific,southeast-asia,,🇲🇿,Mozambique,mozambique-capability-ratings
MRT,east-asia-pacific,southeast-asia,,🇲🇷,Mauritania,mauritania-capability-ratings
MSR,east-asia-pacific,southeast-asia,,🇲🇸,Montserrat,montserrat-capability-ratings
MTQ,east-asia-pacific,southeast-asia,,🇲🇶,Martinique,martinique-capability-ratings
